hotel_df,City,Country,Max Temp,Lat,Lng,Hotel Name
218,Dwarka,IN,81.93200000000002,22.2394,68.9678,Hotel Narayan Avezika Comfort
223,Hoa Binh,VN,79.71799999999999,20.8133,105.3383,Hoa Dao Hotel
226,Port Blair,IN,83.11999999999996,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
228,Ler,SS,82.79600000000005,8.3018,30.1418,Leer Humanitarian Hub
233,Kahului,US,80.88800000000005,20.8947,-156.47,Maui Seaside Hotel
234,Mabay,PH,80.29399999999998,6.0577,124.4666,Bautista Lodging House
235,Jaynagar-Majilpur,IN,79.37599999999999,22.1758,88.4178,Joychanditala Sarbojonin Durga Utsav Committee
236,Russell,US,79.23200000000003,32.3502,-85.1999,Macs
238,Minab,IR,79.39399999999998,27.1467,57.0801,Bam campground
240,Toucheng,TW,78.38599999999997,24.8592,121.8233,和風時尚VILLA會館
241,Paka,MY,77.25199999999998,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
242,Jiazi,CN,75.86600000000001,22.8779,116.067,Hotel Jin Hao
248,Itoman,JP,77.66600000000001,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
254,Chabahar,IR,83.642,25.2919,60.643,هتل گدروشیا
267,Atar,MR,76.208,20.5169,-13.0499,Oumou Elghoura
270,Omboue,GA,76.80199999999998,-1.5746,9.2618,Hotel Olako
271,Boa Vista,BR,77.25199999999998,2.8197,-60.6733,Aipana Plaza Hotel
273,Mutis,CO,80.924,6.2262,-77.4044,Paraiso Escondido
274,Acapulco,MX,86.09000000000003,16.8634,-99.8901,HS Hotsson Smart Acapulco
275,Bathsheba,BB,77.88200000000002,13.2167,-59.5167,Atlantis Hotel
282,Muncar,ID,77.0,-8.4333,114.3333,Zaky Homestay
283,Touros,BR,79.37599999999999,-5.1989,-35.4608,INN NEW HORIZON
284,Sao Joao Da Barra,BR,76.58599999999997,-21.6403,-41.0511,Pousada Porto De Canoas
287,Lorengau,PG,84.14600000000004,-2.0226,147.2712,Lorengau Harbourside Hotel
291,Itanhaem,BR,75.00199999999998,-24.1831,-46.7889,Prainha Residência Artística
293,Maragogi,BR,78.20600000000003,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
295,Moindou,NC,75.59600000000006,-21.6924,165.677,Equi-lodge de Moindou
298,Pemangkat,ID,78.09800000000003,1.1667,108.9667,Ramah Kost KITA
303,Daru,PG,81.78800000000004,-9.0763,143.2092,Daru Lodge
307,Gouyave,GD,78.04399999999998,12.1646,-61.7296,Rumboat Retreat
309,Namatanai,PG,84.93800000000005,-3.6667,152.4333,Seagulls Inn Namatani
311,Grand-Santi,GF,75.81199999999995,4.25,-54.3833,Hotel La Villa Couacou
330,Sweetwater,US,82.66999999999996,25.7634,-80.3731,Courtyard by Marriott Miami at Dolphin Mall
332,Seminole,US,88.60999999999999,28.7086,-81.2081,Ono Hot Dog Cart and Catering
334,Bonthe,SL,80.708,7.5264,-12.505,Bonthe Holiday Village
337,Porto De Moz,BR,77.0,-1.7483,-52.2383,Dormitório labelle
339,Liberty,US,77.37799999999996,31.8335,-81.5004,Sasser’s Mobile Home Park
340,Chandbali,IN,77.84600000000006,20.7833,86.7667,Sabitri Bhavan
342,Porac,PH,78.476,15.1,120.5,Poracay Resort
345,Roxana,CR,79.30399999999995,10.2753,-83.7513,3BYES1
346,Bandarbeyla,SO,81.82400000000001,9.4942,50.8122,JABIR HOTEL
