City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
117,Ukiah,US,2022-04-27 22:26:32,39.1502,-123.2078,294.5,43,0,5.66
118,Katsuura,JP,2022-04-27 22:21:44,35.1333,140.3,288.3,58,100,10.97
119,Souillac,MU,2022-04-27 22:26:33,-20.5167,57.5167,295.36,94,20,3.09
120,Taoudenni,ML,2022-04-27 22:26:33,22.6783,-3.9836,301.88,13,0,3.02
121,Lagoa,PT,2022-04-27 22:26:34,39.05,-27.9833,289.86,92,100,13.9
122,Bambanglipuro,ID,2022-04-27 22:26:34,-7.95,110.2833,297.87,86,100,2.01
123,Barcs,HU,2022-04-27 22:26:35,45.96,17.4586,281.82,90,100,3.65
124,Bethel,US,2022-04-27 22:26:35,41.3712,-73.414,282.88,49,100,5.66
125,Mantua,IT,2022-04-27 22:26:36,45.1667,10.7833,287.73,77,0,2.8
126,Machico,PT,2022-04-27 22:26:36,32.7,-16.7667,290.5,81,20,5.14
127,Kaduqli,SD,2022-04-27 22:26:37,11.0167,29.7167,305.68,15,86,1.86
128,Lompoc,US,2022-04-27 22:26:37,34.6391,-120.4579,295.2,63,0,13.41
129,Biak,ID,2022-04-27 22:26:38,-0.9131,122.8766,297.59,86,80,1.15
130,Korem,ET,2022-04-27 22:26:38,12.5058,39.5228,288.07,64,69,0.49
131,Eyl,SO,2022-04-27 22:26:39,7.9803,49.8164,300.77,78,83,3.09
132,Lazaro Cardenas,MX,2022-04-27 22:26:39,17.9583,-102.2,303.28,47,0,5.6
133,San Carlos De Bariloche,AR,2022-04-27 22:26:40,-41.1456,-71.3082,274.01,93,75,5.14
134,Ponta Do Sol,PT,2022-04-27 22:21:11,32.6667,-17.1,290.5,78,13,1.16
135,Brae,GB,2022-04-27 22:27:41,60.3964,-1.353,279.98,64,98,3.69
136,Villanueva De Cordoba,ES,2022-04-27 22:27:41,38.3228,-4.6287,282.75,67,28,1.26
137,Faya,SA,2022-04-27 22:22:03,18.3851,42.4509,289.21,52,3,1.21
138,Dubbo,AU,2022-04-27 22:27:42,-32.25,148.6167,290.22,100,100,2.57
139,Kavaratti,IN,2022-04-27 22:22:00,10.5669,72.642,301.8,78,30,1.93
140,Portland,US,2022-04-27 22:23:46,45.5234,-122.6762,288.25,64,75,4.12
141,Kodiak,US,2022-04-27 22:27:43,57.79,-152.4072,278.88,81,20,3.09
142,Norman Wells,CA,2022-04-27 22:27:43,65.282,-126.8329,274.17,64,100,4.63
143,Upernavik,GL,2022-04-27 22:26:53,72.7868,-56.1549,274.2,85,100,1.17
144,Fukue,JP,2022-04-27 22:27:44,32.6881,128.8419,290.03,74,86,10.3
145,Conceicao Do Araguaia,BR,2022-04-27 22:27:45,-8.2578,-49.2647,300.59,63,100,0.69
146,Date,JP,2022-04-27 22:27:45,42.4681,140.8681,281.8,60,5,6.88
147,Kant,IN,2022-04-27 22:27:45,27.8,79.8,302.59,13,0,1.9
