hotel_df,City,Country,Max Temp,Lat,Lng,Hotel Name
68,Tevaitoa,PF,81.21199999999996,-16.7833,-151.5,Hôtel Raiatea Lodge
69,Salina,US,81.28399999999999,38.8403,-97.6114,"Holiday Inn Express & Suites Salina, an IHG Hotel"
70,Sabinopolis,BR,63.98599999999997,-18.6661,-43.0839,Hotel Pousada Jesus
72,Mabaruma,GY,75.59600000000006,8.2,-59.7833,Monty Brooms Guest House
73,Jiwani,PK,84.38000000000005,25.05,61.7417,Al Mumtaz Transport Jiwani
74,Laguna,US,76.69399999999997,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
75,Sao Filipe,CV,72.71600000000001,14.8961,-24.4956,Hotel Xaguate
76,Pisco,PE,67.28000000000004,-13.7,-76.2167,Hotel San Isidro Oficial
78,Castro,BR,66.01999999999995,-24.7911,-50.0119,CHACARA BAILLY
79,Georgetown,MY,84.21799999999999,5.4112,100.3354,Cititel Penang
80,Chimore,BO,78.40399999999995,-16.9833,-65.1333,Bichito
81,Atuona,PF,78.92599999999999,-9.8,-139.0333,Villa Enata
82,Yellowknife,CA,52.592,62.456,-114.3525,The Explorer Hotel
84,Kokopo,PG,81.33800000000005,-4.352,152.2633,Kokopo Beach Bungalow Resort
87,Komsomolskiy,UZ,58.190000000000026,40.4272,71.7189,Ikathouse
88,Kropotkin,RU,56.75,45.4375,40.5756,Hotel Europe Kropotkin
89,Hilo,US,86.558,19.7297,-155.09,Hilo Hawaiian Hotel
90,Mahebourg,MU,72.51799999999999,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
92,Copiapo,CL,57.16400000000003,-27.3667,-70.3333,Antay Casino Hotel
93,Cape Town,ZA,60.188000000000045,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
94,Bambous Virieux,MU,72.48200000000003,-20.3428,57.7575,Casa Tia Villa
95,Esperance,AU,53.708000000000006,-33.8667,121.9,Hospitality Esperance
96,Isangel,VU,79.23200000000003,-19.55,169.2667,Tanna Lodge
97,Santa Isabel Do Rio Negro,BR,81.62599999999999,-0.4139,-65.0192,Hotel GSA
99,Port Hardy,CA,50.45,50.6996,-127.4199,Airport Inn-Port Hardy
101,Kaitangata,NZ,50.306000000000026,-46.2817,169.8464,Kaitangata Motor Camp
102,Nabire,ID,76.55000000000001,-3.3667,135.4833,Hotel Nusantara I
103,El Obraje,HN,82.21999999999997,14.0,-86.4333,Mack Führer
104,San Cristobal,VE,75.65,7.7669,-72.225,Pirineos
105,Ushtobe,KZ,50.97200000000004,45.2514,77.9838,Filipin Squad
106,Viedma,AR,57.74000000000002,-40.8135,-62.9967,Hotel Cristal
108,Abu Dhabi,AE,84.57799999999997,24.4667,54.3667,Beach Rotana
109,Fortuna,US,58.190000000000026,40.5982,-124.1573,Super 8 by Wyndham Fortuna
110,Hithadhoo,MV,83.93000000000004,-0.6,73.0833,Scoop Guest House
111,Mount Gambier,AU,60.98000000000005,-37.8333,140.7667,The Commodore
112,Cabedelo,BR,79.73599999999996,-6.9811,-34.8339,Hotel Pigalle
114,Fomboni,KM,82.058,-12.28,43.7425,Auberge les abou
115,Zaozerne,UA,54.842,45.1582,33.2787,"Molodozhnyy Lager' ""Pioner"""
117,Ukiah,US,70.7,39.1502,-123.2078,Hampton Inn Ukiah
118,Katsuura,JP,59.54000000000002,35.1333,140.3,Katsuura Hotel Mikazuki
119,Souillac,MU,72.24800000000002,-20.5167,57.5167,Shanti Maurice Resort & Spa
121,Lagoa,PT,62.34800000000003,39.05,-27.9833,Casa Das Faias
122,Bambanglipuro,ID,76.76600000000002,-7.95,110.2833,Puri Brata
125,Mantua,IT,58.51400000000004,45.1667,10.7833,Hotel la Favorita
126,Machico,PT,63.5,32.7,-16.7667,Dom Pedro Madeira Hotel
127,Kaduqli,SD,90.82400000000001,11.0167,29.7167,Nussyba
128,Lompoc,US,71.95999999999998,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
129,Biak,ID,76.26199999999996,-0.9131,122.8766,Penginapan Kim
130,Korem,ET,59.12599999999999,12.5058,39.5228,Lakomeliza Hotel
131,Eyl,SO,81.98599999999996,7.9803,49.8164,Amiin Hotel
132,Lazaro Cardenas,MX,86.50399999999996,17.9583,-102.2,HOTEL QUINTA ANTIGUA
134,Ponta Do Sol,PT,63.5,32.6667,-17.1,Hotel do Campo
137,Faya,SA,61.17799999999997,18.3851,42.4509,املاك خالد الشعشوع
138,Dubbo,AU,62.99600000000005,-32.25,148.6167,Quality Inn Dubbo International
139,Kavaratti,IN,83.84000000000003,10.5669,72.642,Hotels in Lakshadweep Islands
140,Portland,US,59.45,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
144,Fukue,JP,62.653999999999954,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
145,Conceicao Do Araguaia,BR,81.66199999999995,-8.2578,-49.2647,Tarumã Tropical Hotel
147,Kant,IN,85.26199999999996,27.8,79.8,Haseeb Khan shatreng
149,San Jeronimo,PE,59.54000000000002,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
151,Constantine,DZ,62.27599999999999,36.365,6.6147,Grand Hotel Cirta
152,Salalah,OM,82.75999999999999,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
153,Karratha,AU,78.08000000000004,-20.7377,116.8463,ibis Styles Karratha
154,Beyneu,KZ,64.59800000000003,45.3167,55.2,NUR
155,Hirado,JP,62.653999999999954,33.3597,129.5531,Samson Hotel
156,Los Dos Caminos,VE,74.87599999999999,10.4939,-66.8286,The Hotel
157,Manaus,BR,81.35600000000002,-3.1019,-60.025,Manaus Hotéis Millennium
158,Jaciara,BR,75.90199999999999,-15.9653,-54.9683,Taba Hotel
159,Kudahuvadhoo,MV,84.01999999999995,2.6708,72.8944,Niyama Private Islands Maldives
160,Gopalur,IN,90.95,16.6167,77.8,Dhaba- Motel
161,Flinders,AU,67.64000000000001,-34.5833,150.8552,Shellharbour Resort & Conference Centre
164,Hambantota,LK,81.40999999999998,6.1241,81.1185,Bungalow 63
166,Caldwell,US,66.46999999999997,43.6629,-116.6874,La Quinta Inn by Wyndham Caldwell
167,Quelimane,MZ,75.41600000000001,-17.8786,36.8883,Hotel Flamingo
168,Camocim,BR,79.26799999999999,-2.9022,-40.8411,Ilha Praia Hotel
169,Cockburn Town,TC,79.03399999999999,21.4612,-71.1419,Osprey Beach Hotel
170,Morant Bay,JM,78.69200000000001,17.8815,-76.4093,Whispering Bamboo Cove Resort
171,Kismayo,SO,81.35600000000002,-0.3582,42.5454,Agan-Hotel
173,Bataipora,BR,78.35,-22.2953,-53.2711,Hotel Vale do Ivinhema
174,Nanakuli,US,82.61600000000001,21.3906,-158.1547,Camp Pālehua
175,Broken Hill,AU,58.98200000000001,-31.95,141.4333,Royal Exchange Hotel
177,Andros Town,BS,80.834,24.7,-77.7667,Hanks place
178,Hirara,JP,79.34000000000003,24.8,125.2833,Hotel Atoll Emerald Miyakojima
